Promedio horarios de so2Promedio horarios de so2
Fecha,Hora,ACO,AJM,AJU,ARA,ATI,AZC,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LAG,LLA,LPR,LVI,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VAL,VIF,XAL,
01-03-2018,1,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-03-2018,2,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-03-2018,3,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-03-2018,4,nr,1,nr,nr,2,nr,1,2,1,nr,1,1,nr,nr,1,1,nr,nr,1,0,1,nr,2,1,nr,nr,2,nr,0,1,nr,nr,nr,1,nr,nr,nr,nr,nr,nr,1,2,nr,0,nr,nr,nr,2,
01-03-2018,5,nr,2,nr,nr,2,nr,1,2,1,nr,0,1,nr,nr,1,1,nr,nr,1,1,1,nr,2,1,nr,nr,1,nr,0,1,nr,nr,nr,1,nr,nr,nr,nr,nr,nr,1,2,nr,0,nr,nr,nr,3,
01-03-2018,6,nr,2,nr,nr,2,nr,1,3,1,nr,1,1,nr,nr,1,2,nr,nr,1,1,1,nr,2,1,nr,nr,1,nr,1,1,nr,nr,nr,1,nr,nr,nr,nr,nr,nr,1,2,nr,0,nr,nr,nr,7,
01-03-2018,7,nr,1,nr,nr,2,nr,1,4,1,nr,0,1,nr,nr,3,4,nr,nr,1,1,1,nr,3,2,nr,nr,2,nr,0,2,nr,nr,nr,1,nr,nr,nr,nr,nr,nr,2,2,nr,0,nr,nr,nr,7,
01-03-2018,8,nr,1,nr,nr,2,nr,2,4,3,nr,2,2,nr,nr,3,6,nr,nr,1,1,3,nr,4,6,nr,nr,2,nr,1,2,nr,nr,nr,1,nr,nr,nr,nr,nr,nr,3,3,nr,1,nr,nr,nr,8,
01-03-2018,9,nr,2,nr,nr,2,nr,2,3,3,nr,1,3,nr,nr,4,4,nr,nr,3,1,4,nr,4,8,nr,nr,3,nr,1,3,nr,nr,nr,1,nr,nr,nr,nr,nr,nr,3,3,nr,1,nr,nr,nr,9,
01-03-2018,10,nr,1,nr,nr,3,nr,3,5,3,nr,1,1,nr,nr,4,3,nr,nr,6,2,4,nr,4,8,nr,nr,3,nr,2,3,nr,nr,nr,2,nr,nr,nr,nr,nr,nr,9,5,nr,1,nr,nr,nr,8,
01-03-2018,11,nr,2,nr,nr,4,nr,14,37,11,nr,6,4,nr,nr,3,7,nr,nr,19,4,24,nr,19,38,nr,nr,12,nr,8,6,nr,nr,nr,2,nr,nr,nr,nr,nr,nr,44,13,nr,11,nr,nr,nr,15,
01-03-2018,12,nr,6,nr,nr,3,nr,32,27,17,nr,22,14,nr,nr,4,4,nr,nr,46,4,29,nr,33,27,nr,nr,24,nr,18,14,nr,nr,nr,5,nr,nr,nr,nr,nr,nr,6,4,nr,19,nr,nr,nr,23,
01-03-2018,13,nr,18,nr,nr,4,nr,19,8,21,nr,8,16,nr,nr,45,5,nr,nr,14,6,16,nr,29,12,nr,nr,10,nr,14,18,nr,nr,nr,9,nr,nr,nr,nr,nr,nr,6,7,nr,16,nr,nr,nr,17,
01-03-2018,14,nr,13,nr,nr,22,nr,11,12,11,nr,7,8,nr,nr,7,10,nr,nr,11,7,12,nr,15,14,nr,nr,9,nr,13,11,nr,nr,nr,7,nr,nr,nr,nr,nr,nr,18,21,nr,11,nr,nr,nr,14,
01-03-2018,15,nr,8,nr,nr,8,nr,10,13,10,nr,3,6,nr,10,4,15,nr,nr,11,6,9,nr,4,6,nr,nr,12,nr,8,11,nr,nr,nr,10,nr,nr,nr,nr,nr,nr,9,3,nr,9,nr,nr,nr,7,
01-03-2018,16,nr,8,nr,nr,3,nr,7,3,8,nr,2,nr,nr,12,3,4,nr,nr,4,8,5,nr,3,2,nr,nr,6,nr,3,11,nr,nr,nr,11,nr,nr,nr,nr,nr,nr,3,2,nr,6,nr,nr,nr,3,
01-03-2018,17,nr,5,nr,nr,3,nr,2,2,3,nr,2,2,nr,4,2,2,nr,nr,2,9,2,nr,2,2,nr,nr,3,nr,2,4,nr,nr,nr,3,nr,nr,nr,nr,nr,nr,2,1,nr,2,nr,nr,nr,3,
01-03-2018,18,nr,2,nr,nr,2,nr,2,2,3,nr,1,2,nr,2,2,2,nr,nr,2,3,2,nr,2,2,nr,nr,2,nr,1,3,nr,nr,nr,2,nr,nr,nr,nr,nr,nr,2,1,nr,2,nr,nr,nr,3,
01-03-2018,19,nr,1,nr,nr,2,nr,2,1,2,nr,1,2,nr,2,2,1,nr,nr,1,2,1,nr,2,1,nr,nr,2,nr,1,2,nr,nr,nr,1,nr,nr,nr,nr,nr,nr,1,1,nr,1,nr,nr,nr,3,
