Promedio horarios de pm2Promedio horarios de pm2
Fecha,Hora,ACO,AJU,ATI,CAM,CCA,MON,CHO,COY,CUA,CUT,FAC,HGM,IZT,LLA,LPR,MER,NEZ,PED,SAG,SFE,SJA,SUR,TAH,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-07-2011,1,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,5,nr,3,nr,nr,4,nr,nr,nr,8,nr,nr,nr,4,nr,nr,
01-07-2011,2,nr,nr,nr,18,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1,nr,4,3,nr,7,nr,nr,nr,8,nr,nr,nr,5,nr,nr,
01-07-2011,3,nr,nr,nr,18,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,6,nr,2,nr,nr,1,nr,nr,nr,8,nr,nr,nr,4,nr,nr,
01-07-2011,4,nr,nr,nr,4,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,7,nr,2,nr,nr,5,nr,nr,nr,10,nr,nr,nr,2,nr,nr,
01-07-2011,5,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,6,nr,3,nr,nr,7,nr,nr,nr,12,nr,nr,nr,2,nr,nr,
01-07-2011,6,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,9,nr,1,nr,nr,5,nr,nr,nr,12,nr,nr,nr,4,nr,nr,
01-07-2011,7,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,9,nr,4,10,nr,8,nr,nr,nr,nr,nr,nr,nr,8,nr,nr,
01-07-2011,8,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,11,nr,8,8,nr,6,nr,nr,nr,16,nr,nr,nr,5,nr,nr,
01-07-2011,9,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,13,nr,8,11,nr,10,nr,nr,nr,20,nr,nr,nr,10,nr,nr,
01-07-2011,10,nr,nr,nr,16,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,17,nr,9,1,nr,5,nr,nr,nr,10,nr,nr,nr,17,nr,nr,
