Promedio horarios de wspPromedio horarios de wsp
Fecha,Hora,ACO,AJU,ATI,CAM,CES,MON,CHO,COY,CUA,CUT,FAC,HGM,IMP,IZT,LLA,LPR,MER,NEZ,PED,PLA,SAG,SFE,SJA,SUR,TAC,TAH,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-01-2008,1,nr,nr,nr,nr,0.5,1.2,nr,nr,0.8,nr,1.1,nr,nr,nr,nr,nr,1.4,nr,1.7,nr,2.3,nr,nr,nr,1.3,2.3,nr,1.6,nr,2,nr,nr,1,1.1,
01-01-2008,2,nr,nr,nr,nr,0.2,0.2,nr,nr,1,nr,1.1,nr,nr,nr,nr,nr,1.1,nr,2,nr,2,nr,nr,nr,0.9,0.9,nr,1.7,nr,1.9,nr,nr,0.7,0.5,
01-01-2008,3,nr,nr,nr,nr,0.4,0.7,nr,nr,1.3,nr,0.2,nr,nr,nr,nr,nr,0.7,nr,1.4,nr,2.1,nr,nr,nr,1,1.5,nr,1.9,nr,2.7,nr,nr,0.9,0.1,
01-01-2008,4,nr,nr,nr,nr,0.3,0.7,nr,nr,0.2,nr,1.5,nr,nr,nr,nr,nr,0.6,nr,1.6,0.8,1.6,nr,nr,nr,1.1,1.2,nr,2.3,nr,2.2,nr,nr,0.8,0.7,
01-01-2008,5,nr,nr,nr,nr,0.3,0.5,nr,nr,0.5,nr,0.6,nr,nr,nr,nr,nr,1.4,nr,1.6,0.7,1,nr,nr,nr,0.6,0.7,nr,nr,nr,2.1,nr,nr,nr,0.3,
01-01-2008,6,nr,nr,nr,nr,nr,0.6,nr,nr,1.2,nr,0.4,nr,nr,nr,nr,nr,0.6,nr,1.5,1,1.1,nr,nr,nr,0.6,0.5,nr,nr,nr,2,nr,nr,nr,0.1,
01-01-2008,7,nr,nr,nr,nr,nr,0.7,nr,nr,0.3,nr,0.8,nr,nr,nr,nr,nr,0.4,nr,1.7,0.8,1.3,nr,nr,nr,1.1,0.4,nr,nr,nr,2.4,nr,nr,nr,0.1,
01-01-2008,8,nr,nr,nr,nr,nr,0.5,nr,nr,1.6,nr,0.4,nr,nr,nr,nr,nr,0.8,nr,1.5,0.5,2.4,nr,nr,nr,1.3,0.6,nr,2.5,nr,2.3,nr,nr,0.5,1.2,
01-01-2008,9,nr,nr,nr,nr,0.8,1.3,nr,nr,3.2,nr,3,nr,nr,nr,nr,nr,0.7,nr,2.7,3,4.4,nr,nr,nr,3.3,1.8,nr,3.3,nr,3,nr,nr,1.3,3.3,
01-01-2008,10,nr,nr,nr,nr,1.2,1.3,nr,nr,3.5,nr,2.7,nr,nr,nr,nr,nr,2.2,nr,2.8,2.2,4.3,nr,nr,nr,3.2,5.3,nr,2.3,nr,3.3,nr,nr,1.7,3.4,
01-01-2008,11,nr,nr,nr,nr,1.3,1.4,nr,nr,2.7,nr,2.8,nr,nr,nr,nr,nr,2.4,nr,2.2,1.9,4.1,nr,nr,nr,2.3,3.9,nr,2.8,nr,2.3,nr,nr,4.4,3.4,
01-01-2008,12,nr,nr,nr,nr,1.4,3.6,nr,nr,3.7,nr,3.1,nr,nr,nr,nr,nr,2.8,nr,2.3,2.1,5.3,nr,nr,nr,2.2,5,nr,3.8,nr,nr,nr,nr,4.4,3.5,
01-01-2008,13,nr,nr,nr,nr,1.5,6.8,nr,nr,4.1,nr,2.7,nr,nr,nr,nr,nr,3.2,nr,2.3,2.2,5.8,nr,nr,nr,2.4,5,nr,4.2,nr,nr,nr,nr,5.9,4.1,
01-01-2008,14,nr,nr,nr,nr,2.2,6.9,nr,nr,5.3,nr,4.9,nr,nr,nr,nr,nr,4,nr,3.9,3.8,6.4,nr,nr,nr,4.5,5.5,nr,6.1,nr,nr,nr,nr,6,6,
01-01-2008,15,nr,nr,nr,nr,2.3,6.6,nr,nr,5.6,nr,4.2,nr,nr,nr,nr,nr,4.5,nr,4.7,4.3,5.8,nr,nr,nr,3.8,5.5,nr,4.7,nr,3.4,nr,nr,5.1,4.6,
01-01-2008,16,nr,nr,nr,nr,2.4,8.2,nr,nr,5.9,nr,5.2,nr,nr,nr,nr,nr,3.9,nr,4.1,3.8,7,nr,nr,nr,4.1,6.2,nr,5.7,nr,2.9,nr,nr,6,4.7,
01-01-2008,17,nr,nr,nr,nr,2.9,6.2,nr,nr,6.8,nr,4.3,nr,nr,nr,nr,nr,4.1,nr,5.3,4.7,6.6,nr,nr,nr,4.4,6.4,nr,4.4,nr,3.7,nr,nr,5.3,5.5,
01-01-2008,18,nr,nr,nr,nr,2.8,6.5,nr,nr,6.3,nr,4.1,nr,nr,nr,nr,nr,4.4,nr,4.4,4.1,6.2,nr,nr,nr,3.9,4.8,nr,5.1,nr,3.7,nr,nr,5.6,5.2,
01-01-2008,19,nr,nr,nr,nr,2.6,5.9,nr,nr,5.4,nr,4.3,nr,nr,nr,nr,nr,3.9,nr,4.3,3.7,6.2,nr,nr,nr,3.6,4,nr,4.9,nr,2.9,nr,nr,6.2,4.7,
01-01-2008,20,nr,nr,nr,nr,2,6.7,nr,nr,6.1,nr,4.4,nr,nr,nr,nr,nr,4,nr,3.5,4,6.1,nr,nr,nr,3.7,4.5,nr,5.1,nr,3,nr,nr,5.6,4.6,
01-01-2008,21,nr,nr,nr,nr,2.3,6.7,nr,nr,5.7,nr,4.2,nr,nr,nr,nr,nr,3.9,nr,2.4,2.9,5.3,nr,nr,nr,3.4,5.5,nr,5.3,nr,2.7,nr,nr,6,4.1,
01-01-2008,22,nr,nr,nr,nr,1.8,6,nr,nr,4.5,nr,3.9,nr,nr,nr,nr,nr,3.4,nr,2.8,3.1,5.2,nr,nr,nr,3.4,6.6,nr,4.7,nr,3.3,nr,nr,5.5,4,
01-01-2008,23,nr,nr,nr,nr,1.4,6.2,nr,nr,4.3,nr,3.9,nr,nr,nr,nr,nr,2.9,nr,2.6,2.8,4.5,nr,nr,nr,3.6,6.6,nr,4.4,nr,3.5,nr,nr,5.2,3.7,
01-01-2008,24,nr,nr,nr,nr,1.4,5.8,nr,nr,4.3,nr,3.3,nr,nr,nr,nr,nr,3,nr,2.7,3,4.6,nr,nr,nr,4.1,7.2,nr,3.9,nr,3.4,nr,nr,4.8,3.6,
02-01-2008,1,nr,nr,nr,nr,1.5,5.4,nr,nr,4.9,nr,3.6,nr,nr,nr,nr,nr,2.9,nr,2.4,2.9,5,nr,nr,nr,3.9,5.8,nr,4.5,nr,3.1,nr,nr,4.5,4,
02-01-2008,2,nr,nr,nr,nr,1.5,5.8,nr,nr,4.2,nr,3.4,nr,nr,nr,nr,nr,2.9,nr,3,3.4,6.2,nr,nr,nr,3.7,5.5,nr,3.4,nr,3.5,nr,nr,3,4.3,
02-01-2008,3,nr,nr,nr,nr,1.6,5.4,nr,nr,3.9,nr,nr,nr,nr,nr,nr,nr,3.3,nr,2.7,2.9,5.9,nr,nr,nr,2.7,5.4,nr,2.9,nr,2.8,nr,nr,3.4,4.3,
02-01-2008,4,nr,nr,nr,nr,1.4,4.3,nr,nr,3.4,nr,nr,nr,nr,nr,nr,nr,3.3,nr,2.6,2.9,5.5,nr,nr,nr,2.8,5,nr,2.7,nr,3,nr,nr,2.6,4.2,
02-01-2008,5,nr,nr,nr,nr,nr,4.4,nr,nr,3,nr,nr,nr,nr,nr,nr,nr,2.8,nr,2.2,2.7,4.9,nr,nr,nr,2.6,5.2,nr,2.5,nr,2.6,nr,nr,2.6,4,
02-01-2008,6,nr,nr,nr,nr,nr,4.4,nr,nr,2.9,nr,nr,nr,nr,nr,nr,nr,2.7,nr,2.5,3,5.2,nr,nr,nr,2.5,5.1,nr,2.9,nr,2.1,nr,nr,2.3,3.9,
02-01-2008,7,nr,nr,nr,nr,nr,4,nr,nr,3.4,nr,nr,nr,nr,nr,nr,nr,2.8,nr,2.9,2.9,5.6,nr,nr,nr,2.6,4.7,nr,2.8,nr,2.6,nr,nr,2.8,3.6,
02-01-2008,8,nr,nr,nr,nr,nr,4.2,nr,nr,3.6,nr,nr,nr,nr,nr,nr,nr,2.5,nr,2.8,nr,4.8,nr,nr,nr,2.8,4.3,nr,2.9,nr,2.1,nr,nr,2.5,4.2,
