Promedio horarios de so2Promedio horarios de so2
Fecha,Hora,ACO,AJU,ARA,ATI,AZC,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,HGM,IZT,LAG,LLA,LPR,LVI,MER,NEZ,PED,PLA,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VAL,VIF,XAL,
01-10-2013,1,2,nr,nr,5,nr,3,nr,nr,nr,7,nr,nr,nr,1,2,2,nr,nr,1,nr,nr,4,3,nr,1,1,3,2,nr,2,nr,nr,7,0,1,1,1,nr,3,2,
01-10-2013,2,1,nr,nr,4,nr,3,nr,nr,nr,9,nr,nr,nr,1,3,3,nr,nr,1,nr,nr,7,2,nr,1,1,3,2,nr,2,nr,nr,10,0,1,1,1,nr,10,3,
01-10-2013,3,1,nr,nr,3,nr,3,nr,nr,nr,4,nr,nr,nr,0,7,3,nr,nr,1,nr,nr,2,2,nr,1,1,2,2,nr,1,nr,nr,9,3,1,1,1,nr,19,7,
01-10-2013,4,1,nr,nr,3,nr,3,nr,nr,nr,2,nr,nr,nr,0,4,2,nr,nr,1,nr,nr,3,2,nr,8,1,3,2,nr,1,nr,nr,5,2,1,1,1,nr,21,5,
01-10-2013,5,2,nr,nr,3,nr,3,nr,nr,nr,2,nr,nr,nr,1,2,2,nr,nr,2,nr,nr,7,2,nr,8,1,4,2,nr,1,nr,nr,2,5,1,1,1,nr,20,5,
01-10-2013,6,1,nr,nr,4,nr,4,nr,nr,nr,3,nr,2,nr,2,2,3,nr,nr,2,nr,nr,2,2,nr,2,1,4,2,nr,1,nr,nr,4,6,1,1,1,nr,15,9,
01-10-2013,7,2,nr,nr,4,nr,6,nr,nr,nr,2,nr,4,nr,4,2,4,nr,nr,3,nr,nr,2,3,nr,3,1,6,3,nr,2,nr,nr,8,4,1,1,2,nr,14,7,
01-10-2013,8,2,nr,nr,5,nr,8,nr,nr,nr,3,nr,3,nr,3,3,5,nr,nr,4,nr,nr,2,4,nr,8,1,6,4,nr,2,nr,nr,11,4,1,2,2,nr,8,8,
01-10-2013,9,3,nr,nr,6,nr,7,nr,nr,nr,3,nr,2,nr,3,5,5,nr,nr,5,nr,nr,2,5,nr,12,1,nr,3,nr,2,nr,nr,11,3,2,1,3,nr,6,6,
01-10-2013,10,13,nr,nr,6,nr,10,nr,nr,nr,1,nr,2,nr,5,5,7,nr,nr,5,nr,nr,3,5,nr,12,2,4,4,nr,2,nr,nr,12,5,3,2,4,nr,10,8,
01-10-2013,11,9,nr,nr,5,nr,6,nr,nr,nr,1,nr,2,nr,3,5,5,nr,nr,3,nr,nr,3,4,nr,8,2,4,5,nr,2,nr,nr,5,4,3,3,3,nr,8,7,
01-10-2013,12,5,nr,nr,4,nr,3,nr,nr,nr,1,nr,1,nr,2,3,4,nr,nr,2,nr,nr,2,4,nr,7,1,3,3,nr,2,nr,nr,4,3,2,2,3,nr,6,5,
01-10-2013,13,4,nr,nr,4,nr,3,nr,nr,nr,2,nr,1,nr,2,3,4,nr,nr,2,nr,4,2,3,nr,6,1,3,3,nr,3,nr,nr,4,2,2,2,2,nr,4,3,
01-10-2013,14,4,nr,nr,3,nr,4,nr,nr,nr,2,nr,1,nr,2,nr,3,nr,nr,2,nr,3,3,3,nr,4,1,2,4,nr,2,nr,nr,3,1,2,3,3,nr,3,2,
01-10-2013,15,5,nr,nr,3,nr,4,nr,nr,nr,3,nr,2,nr,2,nr,3,nr,nr,1,nr,3,2,4,nr,5,2,2,3,nr,3,nr,nr,3,1,2,3,3,nr,6,2,
01-10-2013,16,10,nr,nr,4,nr,4,nr,nr,nr,3,nr,2,nr,2,nr,3,nr,nr,2,nr,3,2,4,nr,nr,2,2,4,nr,3,nr,nr,4,8,2,2,2,nr,17,2,
01-10-2013,17,20,nr,nr,14,nr,6,nr,nr,nr,3,nr,2,nr,11,3,3,nr,nr,9,nr,3,3,4,nr,nr,2,3,4,nr,4,nr,nr,20,19,2,3,3,nr,17,8,
01-10-2013,18,11,nr,nr,14,nr,18,nr,nr,nr,3,nr,10,nr,19,10,6,nr,nr,13,nr,7,7,7,nr,nr,7,9,7,nr,3,nr,nr,19,12,3,4,6,nr,7,15,
01-10-2013,19,2,nr,nr,11,nr,11,nr,nr,nr,3,nr,7,nr,11,11,11,nr,nr,4,nr,11,6,8,nr,nr,10,10,4,nr,3,nr,nr,10,2,2,2,4,nr,2,6,
01-10-2013,20,2,nr,nr,11,nr,3,nr,nr,nr,1,nr,12,nr,12,3,4,nr,nr,1,nr,3,2,4,nr,nr,5,1,4,nr,2,nr,nr,12,0,1,1,2,nr,2,1,
01-10-2013,21,1,nr,nr,10,nr,3,nr,nr,nr,1,nr,15,nr,11,2,3,nr,nr,1,nr,2,1,6,nr,nr,7,2,3,nr,2,nr,nr,5,1,1,1,2,nr,2,1,
