Promedio horarios de so2Promedio horarios de so2
Fecha,Hora,ACO,AJU,ARA,ATI,AZC,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,HGM,IZT,LAG,LLA,LPR,LVI,MER,NEZ,PED,PLA,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VAL,VIF,XAL,
01-05-2012,1,2,nr,nr,12,nr,nr,nr,nr,nr,0,nr,6,nr,4,1,2,nr,0,4,nr,nr,nr,4,nr,2,1,5,3,nr,1,nr,nr,nr,1,3,1,5,nr,0,3,
01-05-2012,2,1,nr,nr,7,nr,nr,nr,nr,nr,1,nr,6,nr,4,2,2,nr,0,4,nr,nr,nr,4,nr,2,1,5,3,nr,2,nr,nr,nr,1,3,1,5,nr,0,4,
01-05-2012,3,2,nr,nr,7,nr,nr,nr,nr,nr,1,nr,6,nr,3,2,1,nr,1,5,nr,nr,nr,4,nr,2,1,6,3,nr,2,nr,nr,nr,1,3,1,5,nr,0,5,
01-05-2012,4,2,nr,nr,7,nr,nr,nr,nr,nr,2,nr,6,nr,3,1,2,nr,0,5,nr,nr,nr,4,nr,2,1,6,3,nr,2,nr,nr,nr,1,3,1,5,nr,0,5,
01-05-2012,5,1,nr,nr,7,nr,nr,nr,nr,nr,1,nr,5,nr,3,2,4,nr,1,6,nr,nr,nr,4,nr,2,1,5,3,nr,2,nr,nr,nr,1,3,2,5,nr,0,10,
01-05-2012,6,1,nr,nr,8,nr,nr,nr,nr,nr,1,nr,6,nr,4,2,3,nr,1,5,nr,5,nr,4,nr,2,1,6,3,nr,1,nr,nr,nr,1,2,2,5,nr,0,3,
01-05-2012,7,2,nr,nr,9,nr,nr,nr,nr,nr,1,nr,6,nr,4,2,3,nr,2,7,nr,6,nr,3,nr,3,1,6,3,nr,2,nr,nr,nr,1,2,2,5,nr,1,5,
01-05-2012,8,2,nr,nr,9,nr,nr,nr,nr,nr,0,nr,6,nr,5,4,6,nr,3,8,nr,7,nr,4,nr,4,nr,10,3,nr,2,nr,nr,nr,2,3,2,6,nr,5,5,
01-05-2012,9,4,nr,nr,7,nr,nr,nr,nr,nr,0,nr,6,nr,5,3,7,nr,4,6,nr,7,nr,5,nr,5,2,7,4,nr,3,nr,nr,nr,1,4,2,7,nr,2,9,
01-05-2012,10,6,nr,nr,7,nr,nr,nr,nr,nr,1,nr,7,nr,6,4,5,nr,4,6,nr,6,nr,6,nr,5,2,7,5,nr,3,nr,nr,nr,4,4,4,8,nr,3,6,
01-05-2012,11,4,nr,nr,7,nr,nr,nr,nr,1,1,nr,7,nr,5,4,4,nr,3,6,nr,5,nr,6,nr,5,2,7,5,nr,4,nr,nr,nr,3,5,4,7,nr,3,6,
01-05-2012,12,4,nr,nr,8,nr,nr,nr,nr,3,3,nr,7,nr,5,2,nr,nr,nr,5,nr,4,nr,6,nr,5,2,7,4,nr,4,nr,nr,nr,2,4,3,7,nr,2,5,
01-05-2012,13,3,nr,nr,8,nr,nr,nr,nr,3,2,nr,7,nr,5,2,3,nr,3,5,nr,4,nr,5,nr,3,2,6,4,nr,3,nr,nr,nr,2,4,3,6,nr,1,3,
01-05-2012,14,2,nr,nr,6,nr,nr,nr,nr,3,2,nr,6,nr,5,3,3,nr,3,4,nr,4,nr,5,nr,3,2,5,4,nr,2,nr,nr,nr,1,4,3,6,nr,1,2,
01-05-2012,15,2,nr,nr,5,nr,nr,nr,nr,3,2,nr,nr,nr,5,2,3,nr,2,3,nr,4,nr,5,nr,3,2,5,4,nr,2,nr,nr,nr,2,4,3,6,nr,1,2,
01-05-2012,16,2,nr,nr,5,nr,nr,nr,nr,3,1,nr,nr,nr,5,2,3,nr,2,4,nr,4,nr,5,nr,nr,2,5,4,nr,2,nr,nr,nr,4,5,2,6,nr,2,2,
01-05-2012,17,4,nr,nr,8,nr,nr,nr,nr,3,1,nr,nr,nr,5,2,3,nr,3,4,nr,3,nr,5,nr,4,2,5,4,nr,1,nr,nr,nr,12,4,2,5,nr,nr,2,
01-05-2012,18,4,nr,nr,18,nr,nr,nr,nr,3,0,nr,nr,nr,8,2,2,nr,7,8,nr,4,nr,5,nr,6,2,6,4,nr,1,nr,nr,nr,8,4,2,5,nr,nr,5,
01-05-2012,19,1,nr,nr,15,nr,nr,nr,nr,2,0,nr,nr,nr,11,2,2,nr,4,7,nr,4,nr,5,nr,3,2,5,3,nr,1,nr,nr,nr,7,3,2,6,nr,nr,4,
01-05-2012,20,1,nr,nr,12,nr,nr,nr,nr,2,1,nr,8,nr,6,4,4,nr,1,nr,nr,6,nr,5,nr,2,3,5,nr,nr,2,nr,nr,nr,1,3,2,6,nr,nr,2,
01-05-2012,21,2,nr,nr,7,nr,nr,nr,nr,2,1,nr,14,nr,7,1,2,nr,1,2,nr,3,nr,6,nr,2,6,4,4,nr,1,nr,nr,nr,1,4,2,5,nr,nr,1,
01-05-2012,22,2,nr,nr,5,nr,nr,nr,nr,2,1,nr,15,nr,6,3,3,nr,0,3,nr,4,nr,8,nr,2,7,5,5,nr,2,nr,nr,nr,1,7,2,5,nr,nr,1,
01-05-2012,23,3,nr,nr,5,nr,nr,nr,nr,2,1,nr,14,nr,6,6,4,nr,1,3,nr,4,nr,9,nr,2,6,6,7,nr,3,nr,nr,nr,1,7,5,7,nr,nr,2,
01-05-2012,24,2,nr,nr,5,nr,nr,nr,nr,2,2,nr,11,nr,5,nr,4,nr,1,4,nr,5,nr,nr,nr,2,6,6,6,nr,5,nr,nr,nr,1,4,5,7,nr,nr,2,
02-05-2012,1,2,nr,nr,6,nr,nr,nr,nr,2,2,nr,7,nr,5,nr,4,nr,1,4,nr,5,nr,nr,nr,2,2,5,5,nr,4,nr,nr,nr,1,3,4,7,nr,nr,3,
02-05-2012,2,2,nr,nr,6,nr,nr,nr,nr,2,2,nr,6,nr,4,nr,4,nr,1,3,nr,6,nr,nr,nr,2,1,6,4,nr,3,nr,nr,nr,1,3,3,7,nr,nr,3,
02-05-2012,3,2,nr,nr,6,nr,nr,nr,nr,2,1,nr,5,nr,4,nr,4,nr,4,4,nr,5,nr,nr,nr,2,1,6,4,nr,3,nr,nr,nr,1,3,3,7,nr,nr,5,
02-05-2012,4,2,nr,nr,7,nr,nr,nr,nr,1,1,nr,6,nr,3,nr,2,nr,2,4,nr,4,nr,nr,nr,2,1,5,3,nr,2,nr,nr,nr,1,3,2,6,nr,nr,4,
02-05-2012,5,2,nr,nr,7,nr,nr,nr,nr,1,1,nr,6,nr,4,nr,3,nr,2,5,nr,4,nr,nr,nr,3,1,6,3,nr,2,nr,nr,nr,2,3,2,5,nr,nr,10,
02-05-2012,6,2,nr,nr,7,nr,nr,nr,nr,2,1,nr,6,nr,5,2,5,nr,4,5,nr,5,nr,4,nr,4,2,8,3,nr,2,nr,nr,nr,3,3,2,6,nr,nr,9,
02-05-2012,7,3,nr,nr,8,nr,nr,nr,nr,3,1,nr,7,nr,9,3,7,nr,6,7,nr,6,nr,5,nr,5,2,10,4,nr,2,nr,nr,nr,2,3,2,8,nr,nr,9,
