Promedio horarios de so2Promedio horarios de so2
Fecha,Hora,ACO,AJM,AJU,ARA,ATI,AZC,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LAG,LLA,LPR,LVI,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VAL,VIF,XAL,
01-11-2019,1,nr,2,nr,nr,1,nr,nr,3,3,nr,1,nr,nr,2,2,2,2,nr,5,nr,4,nr,0,1,nr,1,1,nr,3,1,nr,3,nr,1,nr,nr,nr,nr,nr,nr,5,12,nr,nr,3,nr,46,1,
01-11-2019,2,nr,1,nr,nr,1,nr,nr,3,3,nr,3,nr,nr,1,4,4,6,nr,4,nr,3,nr,0,1,nr,1,1,nr,4,1,nr,2,nr,1,nr,nr,nr,nr,nr,nr,13,21,nr,nr,2,nr,18,1,
01-11-2019,3,nr,2,nr,nr,2,nr,nr,4,4,nr,3,nr,nr,1,9,8,8,nr,5,nr,3,nr,0,1,nr,1,3,nr,6,1,nr,3,nr,1,nr,nr,nr,nr,nr,nr,9,22,nr,nr,2,nr,9,1,
01-11-2019,4,nr,2,nr,nr,3,nr,nr,5,6,nr,2,nr,nr,1,9,8,2,nr,6,nr,4,nr,0,1,nr,2,4,nr,2,1,nr,3,nr,3,nr,nr,nr,nr,nr,nr,14,22,nr,nr,2,nr,9,1,
01-11-2019,5,nr,3,nr,nr,2,nr,nr,7,6,nr,1,nr,nr,3,6,8,1,nr,6,nr,4,nr,0,0,nr,3,3,nr,1,2,nr,2,nr,3,nr,nr,nr,nr,nr,nr,14,14,nr,nr,2,nr,14,1,
01-11-2019,6,nr,4,nr,nr,1,nr,nr,7,4,nr,1,nr,nr,3,4,5,1,nr,8,nr,5,nr,1,0,nr,3,2,nr,1,1,nr,1,nr,2,nr,nr,nr,nr,nr,nr,7,10,nr,nr,1,nr,17,1,
01-11-2019,7,nr,3,nr,nr,1,nr,nr,5,3,nr,1,nr,nr,1,10,4,2,nr,6,nr,6,nr,1,1,nr,4,2,nr,1,2,nr,1,nr,2,nr,nr,nr,nr,nr,nr,5,10,nr,nr,1,nr,12,2,
01-11-2019,8,nr,2,nr,nr,1,nr,nr,4,3,nr,1,nr,nr,1,16,3,1,nr,6,nr,5,nr,1,1,nr,5,2,nr,2,2,nr,1,nr,2,nr,nr,nr,nr,nr,nr,4,15,nr,nr,1,nr,8,2,
01-11-2019,9,nr,2,nr,nr,1,nr,nr,4,2,nr,1,nr,nr,1,16,3,2,nr,5,nr,4,nr,1,1,nr,5,2,nr,3,3,nr,2,nr,2,nr,nr,nr,nr,nr,nr,3,12,nr,nr,2,nr,8,2,
01-11-2019,10,nr,2,nr,nr,1,nr,nr,3,3,nr,2,nr,nr,1,14,2,4,nr,5,nr,4,nr,2,1,nr,7,3,nr,3,3,nr,3,nr,1,nr,nr,nr,nr,nr,nr,3,7,nr,nr,3,nr,6,3,
01-11-2019,11,nr,2,nr,nr,1,nr,nr,2,2,nr,1,nr,nr,1,10,2,2,nr,3,nr,3,nr,3,1,nr,5,3,nr,2,4,nr,2,nr,2,nr,nr,nr,nr,nr,nr,3,6,nr,nr,2,nr,3,3,
