Promedio horarios de pm2Promedio horarios de pm2
Fecha,Hora,ACO,AJU,ATI,CAM,CCA,MON,CHO,COY,CUA,CUT,FAC,HGM,IZT,LLA,LPR,MER,NEZ,PED,SAG,SFE,SJA,SUR,TAH,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-08-2008,1,27,nr,nr,11,nr,nr,nr,17,nr,nr,nr,nr,nr,nr,nr,20,18,nr,25,nr,36,nr,nr,nr,nr,nr,nr,nr,17,nr,nr,
01-08-2008,2,40,nr,nr,11,nr,nr,nr,14,nr,nr,nr,nr,nr,nr,nr,16,19,nr,31,nr,29,nr,nr,nr,nr,nr,nr,nr,17,nr,nr,
01-08-2008,3,43,nr,nr,nr,nr,nr,nr,14,nr,nr,nr,nr,nr,nr,nr,21,14,nr,29,nr,36,nr,nr,nr,20,nr,nr,nr,24,nr,nr,
01-08-2008,4,40,nr,nr,nr,nr,nr,nr,13,nr,nr,nr,nr,nr,nr,nr,23,20,nr,30,nr,19,nr,nr,nr,33,nr,nr,nr,21,nr,nr,
01-08-2008,5,33,nr,nr,nr,nr,nr,nr,14,nr,nr,nr,nr,nr,nr,nr,29,22,nr,41,nr,16,nr,nr,nr,27,nr,nr,nr,36,nr,nr,
01-08-2008,6,32,nr,nr,40,nr,nr,nr,18,nr,nr,nr,nr,nr,nr,nr,46,28,nr,39,nr,39,nr,nr,nr,21,nr,nr,nr,39,nr,nr,
01-08-2008,7,23,nr,nr,43,nr,nr,nr,34,nr,nr,nr,nr,nr,nr,nr,45,43,nr,33,nr,37,nr,nr,nr,36,nr,nr,nr,42,nr,nr,
01-08-2008,8,23,nr,nr,42,nr,nr,nr,28,nr,nr,nr,nr,nr,nr,nr,41,42,nr,25,nr,21,nr,nr,nr,36,nr,nr,nr,45,nr,nr,
01-08-2008,9,21,nr,nr,32,nr,nr,nr,31,nr,nr,nr,nr,nr,nr,nr,36,29,nr,18,nr,11,nr,nr,nr,37,nr,nr,nr,49,nr,nr,
01-08-2008,10,28,nr,nr,29,nr,nr,nr,51,nr,nr,nr,nr,nr,nr,nr,43,16,nr,26,nr,37,nr,nr,nr,44,nr,nr,nr,46,nr,nr,
01-08-2008,11,18,nr,nr,35,nr,nr,nr,58,nr,nr,nr,nr,nr,nr,nr,56,23,nr,29,nr,27,nr,nr,nr,50,nr,nr,nr,51,nr,nr,
01-08-2008,12,11,nr,nr,36,nr,nr,nr,58,nr,nr,nr,nr,nr,nr,nr,50,9,nr,20,nr,24,nr,nr,nr,50,nr,nr,nr,38,nr,nr,
01-08-2008,13,nr,nr,nr,26,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,28,10,nr,22,nr,7,nr,nr,nr,45,nr,nr,nr,26,nr,nr,
01-08-2008,14,nr,nr,nr,13,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,21,15,nr,15,nr,22,nr,nr,nr,29,nr,nr,nr,25,nr,nr,
01-08-2008,15,nr,nr,nr,10,nr,nr,nr,20,nr,nr,nr,nr,nr,nr,nr,19,16,nr,3,nr,8,nr,nr,nr,23,nr,nr,nr,nr,nr,nr,
