Promedio horarios de so2Promedio horarios de so2
Fecha,Hora,ACO,AJU,ARA,ATI,AZC,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,HGM,IZT,LAG,LLA,LPR,LVI,MER,NEZ,PED,PLA,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VAL,VIF,XAL,
01-10-2011,1,nr,nr,nr,5,nr,2,nr,nr,1,nr,nr,6,nr,6,nr,2,nr,0,2,nr,2,1,7,nr,2,nr,1,10,nr,2,nr,nr,2,3,8,nr,1,nr,5,2,
01-10-2011,2,nr,nr,nr,3,nr,2,nr,nr,1,nr,nr,4,nr,3,nr,1,nr,0,2,nr,2,1,4,nr,2,nr,1,4,nr,2,nr,nr,2,4,4,nr,0,nr,4,1,
01-10-2011,3,nr,nr,nr,2,nr,2,nr,nr,1,nr,nr,2,nr,2,nr,0,nr,0,2,nr,1,1,3,nr,2,nr,1,2,nr,1,nr,nr,1,2,1,nr,1,nr,3,2,
01-10-2011,4,nr,nr,nr,1,nr,2,nr,nr,1,nr,nr,1,nr,1,nr,1,nr,0,2,nr,2,1,2,nr,2,nr,1,2,nr,2,nr,nr,1,1,1,nr,0,nr,3,2,
01-10-2011,5,nr,nr,nr,4,nr,2,nr,nr,1,nr,nr,1,nr,1,nr,0,nr,0,2,nr,2,1,1,nr,2,nr,1,2,nr,1,nr,nr,1,0,1,nr,1,nr,2,2,
01-10-2011,6,nr,nr,nr,1,nr,1,nr,nr,1,nr,nr,1,nr,1,nr,0,nr,0,2,nr,2,1,1,nr,3,nr,1,2,nr,1,nr,nr,0,0,1,nr,0,nr,2,2,
01-10-2011,7,nr,nr,nr,1,nr,1,nr,nr,1,nr,nr,2,nr,1,nr,1,nr,0,2,nr,2,1,1,nr,3,nr,1,2,nr,1,nr,nr,1,0,0,nr,1,nr,2,2,
01-10-2011,8,nr,nr,nr,1,nr,1,nr,nr,1,nr,nr,1,nr,1,nr,1,nr,0,2,nr,2,1,1,nr,nr,nr,1,3,nr,1,nr,nr,2,0,1,nr,1,nr,3,2,
01-10-2011,9,nr,nr,nr,1,nr,1,nr,nr,1,nr,nr,1,nr,1,nr,1,nr,nr,2,nr,2,nr,2,nr,3,nr,2,2,nr,2,nr,nr,2,0,1,nr,1,nr,2,2,
01-10-2011,10,nr,nr,nr,2,nr,1,nr,nr,1,nr,nr,1,nr,1,nr,1,nr,nr,2,nr,2,nr,2,nr,3,nr,1,2,nr,2,nr,nr,1,0,1,nr,1,nr,2,2,
01-10-2011,11,nr,nr,nr,1,nr,0,nr,nr,1,nr,nr,1,nr,1,nr,0,nr,nr,2,nr,2,1,1,nr,2,nr,1,2,nr,2,nr,nr,1,0,1,nr,0,nr,2,2,
01-10-2011,12,nr,nr,nr,1,nr,0,nr,nr,1,nr,nr,1,nr,0,nr,0,nr,nr,2,nr,2,1,1,nr,3,nr,1,1,nr,2,nr,nr,1,0,1,nr,1,nr,2,2,
01-10-2011,13,nr,nr,nr,1,nr,1,nr,nr,1,nr,nr,1,nr,0,nr,0,nr,nr,2,nr,2,1,1,nr,3,nr,1,1,nr,1,nr,nr,1,0,1,nr,1,nr,2,2,
01-10-2011,14,nr,nr,nr,0,nr,1,nr,nr,1,nr,nr,1,nr,0,nr,1,nr,nr,2,nr,2,1,1,nr,3,nr,1,2,nr,2,nr,nr,1,0,1,nr,1,nr,2,2,
01-10-2011,15,nr,nr,nr,1,nr,1,nr,nr,1,nr,nr,1,nr,1,nr,0,nr,nr,2,nr,2,1,1,nr,3,nr,1,2,nr,2,nr,nr,1,0,0,nr,1,nr,2,2,
01-10-2011,16,nr,nr,nr,0,nr,1,nr,nr,1,nr,nr,1,nr,1,nr,1,nr,nr,2,nr,2,1,1,nr,2,nr,1,2,nr,2,nr,nr,2,1,1,nr,1,nr,2,2,
