Promedio horarios de so2Promedio horarios de so2
Fecha,Hora,ACO,AJM,AJU,ARA,ATI,AZC,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LAG,LLA,LPR,LVI,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VAL,VIF,XAL,
01-09-2016,1,nr,nr,0,nr,nr,nr,nr,nr,nr,nr,nr,nr,0,nr,nr,nr,nr,0,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0,nr,nr,nr,0,nr,nr,0,nr,nr,nr,nr,nr,
01-09-2016,2,nr,nr,0,nr,nr,nr,nr,nr,nr,nr,nr,nr,0,nr,nr,nr,nr,0,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0,nr,nr,nr,0,nr,nr,0,nr,nr,nr,nr,nr,
01-09-2016,3,nr,nr,0,nr,nr,nr,nr,nr,nr,nr,nr,nr,0,nr,nr,nr,nr,0,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0,nr,nr,nr,0,nr,nr,0,nr,nr,nr,nr,nr,
01-09-2016,4,1,1,0,nr,nr,nr,5,nr,1,nr,0,nr,0,nr,nr,3,nr,0,7,0,nr,nr,1,1,nr,4,3,1,1,nr,nr,nr,1,2,1,0,nr,1,nr,0,nr,8,0,1,1,nr,2,1,
01-09-2016,5,1,0,0,nr,nr,nr,6,nr,1,nr,1,nr,0,nr,nr,3,nr,0,9,0,2,nr,1,1,nr,3,3,1,1,nr,nr,nr,2,2,1,0,nr,1,nr,0,nr,4,0,1,1,nr,2,4,
01-09-2016,6,1,0,0,nr,nr,nr,5,nr,1,nr,1,nr,0,nr,nr,3,nr,0,5,0,2,nr,1,2,nr,2,3,1,1,nr,nr,nr,2,2,1,0,nr,1,nr,0,nr,3,0,1,1,nr,2,4,
01-09-2016,7,1,1,0,nr,nr,nr,4,nr,2,nr,1,nr,0,nr,nr,5,nr,0,5,0,3,nr,2,2,nr,3,3,1,1,nr,nr,nr,3,2,1,0,nr,1,nr,0,nr,4,0,1,2,nr,2,4,
01-09-2016,8,1,1,0,nr,nr,nr,5,nr,3,nr,1,nr,0,nr,nr,4,nr,0,5,0,3,nr,2,3,nr,3,3,1,1,nr,nr,nr,3,2,1,0,nr,2,nr,0,nr,4,0,2,3,nr,2,4,
01-09-2016,9,1,2,0,nr,nr,nr,6,nr,3,nr,1,nr,0,nr,nr,5,nr,0,5,1,4,nr,2,3,nr,4,3,1,2,nr,nr,nr,3,2,2,0,nr,2,nr,0,nr,3,0,3,3,nr,3,5,
01-09-2016,10,1,2,0,nr,nr,nr,5,nr,3,nr,1,nr,0,nr,nr,4,nr,0,4,1,3,nr,2,3,nr,3,3,1,3,nr,nr,nr,3,2,2,0,nr,2,nr,0,nr,3,0,2,3,nr,2,5,
01-09-2016,11,1,2,0,nr,nr,nr,4,nr,3,nr,1,nr,0,nr,nr,2,nr,0,4,1,2,nr,1,2,nr,2,3,1,1,nr,nr,nr,3,2,1,0,nr,2,nr,0,nr,2,0,2,2,nr,2,3,
01-09-2016,12,1,1,0,nr,nr,nr,3,1,3,nr,0,nr,0,nr,nr,2,nr,0,2,1,2,nr,0,1,nr,2,2,1,1,nr,nr,nr,2,3,1,0,nr,2,nr,0,nr,nr,0,2,2,nr,1,1,
01-09-2016,13,1,1,0,nr,nr,nr,2,1,2,nr,0,nr,0,nr,nr,2,nr,0,1,1,1,nr,0,1,nr,1,2,2,1,nr,nr,nr,2,2,1,0,nr,2,nr,0,nr,nr,0,2,1,nr,1,1,
01-09-2016,14,1,1,0,nr,nr,nr,2,0,2,nr,0,nr,0,nr,nr,2,nr,0,1,1,1,nr,0,1,nr,1,2,1,1,2,nr,nr,1,2,1,0,nr,1,nr,0,nr,nr,0,1,1,nr,0,1,
01-09-2016,15,1,1,0,nr,nr,nr,1,0,2,nr,0,nr,0,nr,nr,2,nr,0,1,1,1,nr,0,1,nr,0,2,1,1,1,nr,nr,1,2,1,0,nr,1,nr,0,nr,1,0,1,1,nr,1,1,
01-09-2016,16,1,1,0,nr,nr,nr,1,1,2,nr,0,nr,0,nr,nr,2,nr,0,1,1,1,nr,0,1,nr,1,2,1,1,2,nr,nr,1,2,0,0,nr,1,nr,0,nr,1,0,1,1,nr,1,1,
01-09-2016,17,1,1,0,nr,nr,nr,2,1,2,nr,0,nr,0,nr,nr,2,nr,0,1,1,1,nr,0,1,nr,1,2,1,1,2,nr,nr,1,2,0,0,nr,1,nr,0,nr,1,0,1,1,nr,1,1,
01-09-2016,18,1,1,0,nr,nr,nr,2,1,2,nr,0,nr,0,nr,nr,3,nr,0,2,1,1,nr,0,1,nr,1,1,1,1,2,nr,nr,1,6,0,0,nr,1,nr,0,nr,1,0,1,1,nr,1,1,
