Promedio horarios de pm2Promedio horarios de pm2
Fecha,Hora,ACO,AJU,ATI,CAM,CCA,MON,CHO,COY,CUA,CUT,FAC,HGM,IZT,LLA,LPR,MER,NEZ,PED,SAG,SFE,SJA,SUR,TAH,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-08-2012,1,nr,nr,nr,21,nr,nr,nr,14,nr,nr,nr,nr,nr,nr,nr,19,14,6,10,12,9,nr,nr,nr,nr,nr,nr,14,16,nr,5,
01-08-2012,2,nr,nr,nr,18,nr,nr,nr,13,nr,nr,nr,nr,nr,nr,nr,19,29,14,20,9,16,nr,nr,nr,nr,nr,nr,12,16,nr,31,
01-08-2012,3,nr,nr,nr,33,nr,nr,nr,15,nr,nr,nr,11,nr,nr,nr,18,36,13,13,13,11,nr,nr,nr,nr,nr,nr,10,18,nr,6,
01-08-2012,4,nr,nr,nr,20,nr,nr,nr,16,nr,nr,nr,19,nr,nr,nr,18,9,10,18,10,15,nr,nr,nr,nr,nr,nr,18,16,nr,23,
01-08-2012,5,nr,nr,nr,18,nr,nr,nr,19,nr,nr,nr,24,nr,nr,nr,17,10,9,24,10,23,nr,nr,nr,nr,nr,nr,18,13,nr,37,
01-08-2012,6,nr,nr,nr,22,nr,nr,nr,21,nr,nr,nr,30,nr,nr,nr,15,13,10,30,18,14,nr,nr,nr,nr,nr,nr,20,19,nr,29,
01-08-2012,7,nr,nr,nr,25,nr,nr,nr,21,nr,nr,nr,16,nr,nr,nr,36,21,12,32,20,25,nr,nr,nr,nr,nr,nr,17,18,nr,52,
01-08-2012,8,nr,nr,nr,28,nr,nr,nr,24,nr,nr,nr,17,nr,nr,nr,31,20,16,31,9,nr,nr,nr,nr,nr,nr,nr,21,23,nr,63,
01-08-2012,9,nr,nr,nr,32,nr,nr,nr,27,nr,nr,nr,29,nr,nr,nr,26,25,22,25,22,18,nr,nr,nr,nr,nr,nr,17,25,nr,59,
01-08-2012,10,nr,nr,nr,42,nr,nr,nr,27,nr,nr,nr,nr,nr,nr,nr,33,22,nr,30,15,28,nr,nr,nr,nr,nr,nr,26,29,nr,35,
01-08-2012,11,nr,nr,nr,45,nr,nr,nr,26,nr,nr,nr,10,nr,nr,nr,41,20,23,27,27,25,nr,nr,nr,nr,nr,nr,20,36,nr,43,
01-08-2012,12,nr,nr,nr,36,nr,nr,nr,35,nr,nr,nr,4,nr,nr,nr,37,28,31,32,30,22,nr,nr,nr,nr,nr,nr,16,37,nr,26,
01-08-2012,13,nr,nr,nr,27,nr,nr,nr,50,nr,nr,nr,48,nr,nr,nr,39,24,47,27,59,24,nr,nr,nr,nr,nr,nr,33,39,nr,37,
01-08-2012,14,nr,nr,nr,27,nr,nr,nr,43,nr,nr,nr,33,nr,nr,nr,32,11,38,17,37,15,nr,nr,nr,nr,nr,nr,24,25,nr,25,
01-08-2012,15,nr,nr,nr,24,nr,nr,nr,40,nr,nr,nr,nr,nr,nr,nr,28,17,44,19,18,8,nr,nr,nr,nr,nr,nr,10,14,nr,18,
01-08-2012,16,nr,nr,nr,18,nr,nr,nr,35,nr,nr,nr,11,nr,nr,nr,14,16,36,5,19,9,nr,nr,nr,nr,nr,nr,7,13,nr,8,
01-08-2012,17,nr,nr,nr,22,nr,nr,nr,24,nr,nr,nr,11,nr,nr,nr,14,12,25,14,15,33,nr,nr,nr,nr,nr,nr,26,14,nr,15,
01-08-2012,18,nr,nr,nr,16,nr,nr,nr,16,nr,nr,nr,13,nr,nr,nr,12,18,20,17,34,14,nr,nr,nr,nr,nr,nr,17,19,nr,18,
01-08-2012,19,nr,nr,nr,14,nr,nr,nr,16,nr,nr,nr,nr,nr,nr,nr,13,19,13,14,17,14,nr,nr,nr,nr,nr,nr,33,7,nr,15,
01-08-2012,20,nr,nr,nr,13,nr,nr,nr,9,nr,nr,nr,6,nr,nr,nr,16,14,11,13,14,15,nr,nr,nr,nr,nr,nr,20,12,nr,18,
01-08-2012,21,nr,nr,nr,14,nr,nr,nr,11,nr,nr,nr,15,nr,nr,nr,12,14,18,9,17,16,nr,nr,nr,nr,nr,nr,22,7,nr,20,
01-08-2012,22,nr,nr,nr,12,nr,nr,nr,12,nr,nr,nr,14,nr,nr,nr,7,16,20,15,19,12,nr,nr,nr,nr,nr,nr,10,12,nr,8,
01-08-2012,23,nr,nr,nr,16,nr,nr,nr,13,nr,nr,nr,13,nr,nr,nr,12,11,17,14,13,12,nr,nr,nr,nr,nr,nr,17,12,nr,15,
01-08-2012,24,nr,nr,nr,16,nr,nr,nr,17,nr,nr,nr,8,nr,nr,nr,14,16,15,8,20,10,nr,nr,nr,nr,nr,nr,22,14,nr,21,
02-08-2012,1,nr,nr,nr,16,nr,nr,nr,19,nr,nr,nr,17,nr,nr,nr,14,13,15,21,19,12,nr,nr,nr,nr,nr,nr,14,13,nr,25,
02-08-2012,2,nr,nr,nr,17,nr,nr,nr,21,nr,nr,nr,11,nr,nr,nr,16,18,18,16,15,21,nr,nr,nr,nr,nr,nr,21,25,nr,4,
02-08-2012,3,nr,nr,nr,21,nr,nr,nr,21,nr,nr,nr,12,nr,nr,nr,15,16,20,17,8,15,nr,nr,nr,nr,nr,nr,15,32,nr,36,
02-08-2012,4,nr,nr,nr,18,nr,nr,nr,19,nr,nr,nr,11,nr,nr,nr,16,13,15,17,10,17,nr,nr,nr,nr,nr,nr,19,13,nr,8,
02-08-2012,5,nr,nr,nr,21,nr,nr,nr,18,nr,nr,nr,22,nr,nr,nr,19,17,19,23,17,21,nr,nr,nr,nr,nr,nr,36,10,nr,31,
