Promedio horarios de pm2Promedio horarios de pm2
Fecha,Hora,ACO,AJU,ATI,CAM,CCA,MON,CHO,COY,CUA,CUT,FAC,HGM,IZT,LLA,LPR,MER,NEZ,PED,SAG,SFE,SJA,SUR,TAH,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-10-2005,1,nr,nr,nr,17,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,18,nr,nr,nr,nr,19,nr,nr,nr,16,nr,nr,nr,16,nr,nr,
01-10-2005,2,nr,nr,nr,23,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,17,nr,nr,nr,nr,15,nr,nr,nr,18,nr,nr,nr,25,nr,nr,
01-10-2005,3,nr,nr,nr,19,nr,nr,nr,13,nr,nr,nr,nr,nr,nr,nr,16,nr,nr,nr,nr,14,nr,nr,nr,23,nr,nr,nr,26,nr,nr,
01-10-2005,4,nr,nr,nr,22,nr,nr,nr,14,nr,nr,nr,nr,nr,nr,nr,17,nr,nr,nr,nr,15,nr,nr,nr,28,nr,nr,nr,23,nr,nr,
01-10-2005,5,nr,nr,nr,nr,nr,nr,nr,14,nr,nr,nr,nr,nr,nr,nr,32,nr,nr,nr,nr,15,nr,nr,nr,26,nr,nr,nr,50,nr,nr,
01-10-2005,6,nr,nr,nr,nr,nr,nr,nr,18,nr,nr,nr,nr,nr,nr,nr,33,nr,nr,nr,nr,18,nr,nr,nr,29,nr,nr,nr,27,nr,nr,
01-10-2005,7,nr,nr,nr,nr,nr,nr,nr,21,nr,nr,nr,nr,nr,nr,nr,35,nr,nr,nr,nr,22,nr,nr,nr,34,nr,nr,nr,17,nr,nr,
01-10-2005,8,nr,nr,nr,34,nr,nr,nr,23,nr,nr,nr,nr,nr,nr,nr,28,nr,nr,nr,nr,24,nr,nr,nr,40,nr,nr,nr,21,nr,nr,
01-10-2005,9,nr,nr,nr,42,nr,nr,nr,27,nr,nr,nr,nr,nr,nr,nr,35,nr,nr,nr,nr,23,nr,nr,nr,40,nr,nr,nr,26,nr,nr,
01-10-2005,10,nr,nr,nr,39,nr,nr,nr,34,nr,nr,nr,nr,nr,nr,nr,37,nr,nr,nr,nr,23,nr,nr,nr,31,nr,nr,nr,21,nr,nr,
01-10-2005,11,nr,nr,nr,36,nr,nr,nr,42,nr,nr,nr,nr,nr,nr,nr,44,nr,nr,nr,nr,25,nr,nr,nr,25,nr,nr,nr,17,nr,nr,
01-10-2005,12,nr,nr,nr,22,nr,nr,nr,60,nr,nr,nr,nr,nr,nr,nr,50,nr,nr,nr,nr,22,nr,nr,nr,31,nr,nr,nr,21,nr,nr,
01-10-2005,13,nr,nr,nr,32,nr,nr,nr,51,nr,nr,nr,nr,nr,nr,nr,39,nr,nr,nr,nr,17,nr,nr,nr,25,nr,nr,nr,16,nr,nr,
